Current process ID: 108006

Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.2
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
HIDDEN_DIM=256
HIDDEN_LAYERS=3
MAXK=16
MODEL=sage
NONLINEAR=maxk
NORM=True
PATH=experiment/flickr_seed97/sage_max16
PLOT_PATH=experiment/flickr_seed97/sage_max16/plots
SEED=97
SELFLOOP=True
W_LR=0.001
W_WEIGHT_DECAY=0

Training with DGL built-in GraphConv module.
Training...
Training timing started - measuring forward pass aggregation only
Epoch 0000/1000| Loss 2.5952 | Train Accuracy 0.3802 | Val Accuracy 0.3796 | Test Accuracy 0.3779 | Best val. Accuracy 0.3796 | Best test Accuracy 0.3779
Epoch 0001/1000| Loss 2.1077 | Train Accuracy 0.3786 | Val Accuracy 0.3741 | Test Accuracy 0.3761 | Best val. Accuracy 0.3796 | Best test Accuracy 0.3779
Epoch 0002/1000| Loss 2.0653 | Train Accuracy 0.3833 | Val Accuracy 0.3865 | Test Accuracy 0.3845 | Best val. Accuracy 0.3865 | Best test Accuracy 0.3845
Epoch 0003/1000| Loss 1.9423 | Train Accuracy 0.3894 | Val Accuracy 0.3906 | Test Accuracy 0.3907 | Best val. Accuracy 0.3906 | Best test Accuracy 0.3907
Epoch 0004/1000| Loss 1.8351 | Train Accuracy 0.4092 | Val Accuracy 0.4114 | Test Accuracy 0.4126 | Best val. Accuracy 0.4114 | Best test Accuracy 0.4126
Epoch 0005/1000| Loss 1.7444 | Train Accuracy 0.4171 | Val Accuracy 0.4188 | Test Accuracy 0.4186 | Best val. Accuracy 0.4188 | Best test Accuracy 0.4186
Epoch 0006/1000| Loss 1.7093 | Train Accuracy 0.4228 | Val Accuracy 0.4246 | Test Accuracy 0.4240 | Best val. Accuracy 0.4246 | Best test Accuracy 0.4240
Epoch 0007/1000| Loss 1.6702 | Train Accuracy 0.4246 | Val Accuracy 0.4255 | Test Accuracy 0.4260 | Best val. Accuracy 0.4255 | Best test Accuracy 0.4260
Epoch 0008/1000| Loss 1.6428 | Train Accuracy 0.4235 | Val Accuracy 0.4248 | Test Accuracy 0.4258 | Best val. Accuracy 0.4255 | Best test Accuracy 0.4260
Epoch 0009/1000| Loss 1.6262 | Train Accuracy 0.4237 | Val Accuracy 0.4260 | Test Accuracy 0.4248 | Best val. Accuracy 0.4260 | Best test Accuracy 0.4248
Epoch 0010/1000| Loss 1.6180 | Train Accuracy 0.4227 | Val Accuracy 0.4253 | Test Accuracy 0.4254 | Best val. Accuracy 0.4260 | Best test Accuracy 0.4248
Epoch 0011/1000| Loss 1.6157 | Train Accuracy 0.4221 | Val Accuracy 0.4247 | Test Accuracy 0.4241 | Best val. Accuracy 0.4260 | Best test Accuracy 0.4248
Epoch 0012/1000| Loss 1.6047 | Train Accuracy 0.4222 | Val Accuracy 0.4246 | Test Accuracy 0.4239 | Best val. Accuracy 0.4260 | Best test Accuracy 0.4248
Epoch 0013/1000| Loss 1.5931 | Train Accuracy 0.4226 | Val Accuracy 0.4251 | Test Accuracy 0.4248 | Best val. Accuracy 0.4260 | Best test Accuracy 0.4248
Epoch 0014/1000| Loss 1.5890 | Train Accuracy 0.4232 | Val Accuracy 0.4259 | Test Accuracy 0.4254 | Best val. Accuracy 0.4260 | Best test Accuracy 0.4248
Epoch 0015/1000| Loss 1.5885 | Train Accuracy 0.4224 | Val Accuracy 0.4255 | Test Accuracy 0.4246 | Best val. Accuracy 0.4260 | Best test Accuracy 0.4248
