Current process ID: 108252

Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.2
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
HIDDEN_DIM=256
HIDDEN_LAYERS=3
MAXK=32
MODEL=sage
NONLINEAR=relu
NORM=True
PATH=experiment/flickr_seed97/sage_relu
PLOT_PATH=experiment/flickr_seed97/sage_relu/plots
SEED=97
SELFLOOP=True
W_LR=0.001
W_WEIGHT_DECAY=0

Training with DGL built-in GraphConv module.
Training...
Training timing started - measuring forward pass aggregation only
Epoch 0000/1000| Loss 2.2184 | Train Accuracy 0.4203 | Val Accuracy 0.4222 | Test Accuracy 0.4211 | Best val. Accuracy 0.4222 | Best test Accuracy 0.4211
Epoch 0001/1000| Loss 2.5437 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4222 | Best test Accuracy 0.4211
Epoch 0002/1000| Loss 2.9948 | Train Accuracy 0.2298 | Val Accuracy 0.2245 | Test Accuracy 0.2247 | Best val. Accuracy 0.4222 | Best test Accuracy 0.4211
Epoch 0003/1000| Loss 2.2698 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 2.2364 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 2.1493 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1.9862 | Train Accuracy 0.4216 | Val Accuracy 0.4237 | Test Accuracy 0.4233 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 1.9517 | Train Accuracy 0.3059 | Val Accuracy 0.3028 | Test Accuracy 0.3031 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 1.9614 | Train Accuracy 0.2583 | Val Accuracy 0.2581 | Test Accuracy 0.2548 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 1.9506 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2548 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 1.9042 | Train Accuracy 0.3129 | Val Accuracy 0.3097 | Test Accuracy 0.3116 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0011/1000| Loss 1.8386 | Train Accuracy 0.4218 | Val Accuracy 0.4242 | Test Accuracy 0.4238 | Best val. Accuracy 0.4242 | Best test Accuracy 0.4238
Epoch 0012/1000| Loss 1.7972 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4242 | Best test Accuracy 0.4238
Epoch 0013/1000| Loss 1.7888 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4242 | Best test Accuracy 0.4238
Epoch 0014/1000| Loss 1.7643 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4242 | Best test Accuracy 0.4238
Epoch 0015/1000| Loss 1.7204 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4242 | Best test Accuracy 0.4238
Epoch 0016/1000| Loss 1.6951 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4242 | Best test Accuracy 0.4238
Epoch 0017/1000| Loss 1.6935 | Train Accuracy 0.4254 | Val Accuracy 0.4273 | Test Accuracy 0.4278 | Best val. Accuracy 0.4273 | Best test Accuracy 0.4278
Epoch 0018/1000| Loss 1.6753 | Train Accuracy 0.4386 | Val Accuracy 0.4394 | Test Accuracy 0.4388 | Best val. Accuracy 0.4394 | Best test Accuracy 0.4388
Epoch 0019/1000| Loss 1.6489 | Train Accuracy 0.4404 | Val Accuracy 0.4407 | Test Accuracy 0.4404 | Best val. Accuracy 0.4407 | Best test Accuracy 0.4404
Epoch 0020/1000| Loss 1.6266 | Train Accuracy 0.4339 | Val Accuracy 0.4347 | Test Accuracy 0.4349 | Best val. Accuracy 0.4407 | Best test Accuracy 0.4404
Epoch 0021/1000| Loss 1.6099 | Train Accuracy 0.4227 | Val Accuracy 0.4255 | Test Accuracy 0.4248 | Best val. Accuracy 0.4407 | Best test Accuracy 0.4404
Epoch 0022/1000| Loss 1.6115 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4407 | Best test Accuracy 0.4404
Epoch 0023/1000| Loss 1.6277 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4407 | Best test Accuracy 0.4404
