Current process ID: 112583

Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=500
EVALUATE=None
GPU=0
HIDDEN_DIM=256
HIDDEN_LAYERS=3
MAXK=16
MODEL=sage
NONLINEAR=maxk
NORM=True
PATH=experiment/ogbn-products_seed97/sage_max16
PLOT_PATH=experiment/ogbn-products_seed97/sage_max16/plots
SEED=97
SELFLOOP=False
W_LR=0.003
W_WEIGHT_DECAY=0

Training with DGL built-in GraphConv module.
Training...
Training timing started - measuring forward pass aggregation only
Epoch 0000/0500| Loss 4.6639 | Train Accuracy 0.3107 | Val Accuracy 0.3107 | Test Accuracy 0.2662 | Best val. Accuracy 0.3107 | Best test Accuracy 0.2662
Epoch 0001/0500| Loss 3.2874 | Train Accuracy 0.3935 | Val Accuracy 0.3908 | Test Accuracy 0.3205 | Best val. Accuracy 0.3908 | Best test Accuracy 0.3205
Epoch 0002/0500| Loss 2.7558 | Train Accuracy 0.4311 | Val Accuracy 0.4340 | Test Accuracy 0.3445 | Best val. Accuracy 0.4340 | Best test Accuracy 0.3445
Epoch 0003/0500| Loss 2.4971 | Train Accuracy 0.5222 | Val Accuracy 0.5178 | Test Accuracy 0.4178 | Best val. Accuracy 0.5178 | Best test Accuracy 0.4178
Epoch 0004/0500| Loss 2.1710 | Train Accuracy 0.5076 | Val Accuracy 0.5089 | Test Accuracy 0.4169 | Best val. Accuracy 0.5178 | Best test Accuracy 0.4178
Epoch 0005/0500| Loss 1.9612 | Train Accuracy 0.5452 | Val Accuracy 0.5437 | Test Accuracy 0.4398 | Best val. Accuracy 0.5437 | Best test Accuracy 0.4398
Epoch 0006/0500| Loss 1.7678 | Train Accuracy 0.6580 | Val Accuracy 0.6458 | Test Accuracy 0.5057 | Best val. Accuracy 0.6458 | Best test Accuracy 0.5057
Epoch 0007/0500| Loss 1.5599 | Train Accuracy 0.6888 | Val Accuracy 0.6791 | Test Accuracy 0.5338 | Best val. Accuracy 0.6791 | Best test Accuracy 0.5338
Epoch 0008/0500| Loss 1.4200 | Train Accuracy 0.6958 | Val Accuracy 0.6880 | Test Accuracy 0.5416 | Best val. Accuracy 0.6880 | Best test Accuracy 0.5416
Epoch 0009/0500| Loss 1.3036 | Train Accuracy 0.7035 | Val Accuracy 0.6924 | Test Accuracy 0.5454 | Best val. Accuracy 0.6924 | Best test Accuracy 0.5454
Epoch 0010/0500| Loss 1.2114 | Train Accuracy 0.7191 | Val Accuracy 0.7066 | Test Accuracy 0.5549 | Best val. Accuracy 0.7066 | Best test Accuracy 0.5549
