Current process ID: 116326

Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=500
EVALUATE=None
GPU=0
HIDDEN_DIM=256
HIDDEN_LAYERS=3
MAXK=32
MODEL=sage
NONLINEAR=maxk
NORM=True
PATH=experiment/ogbn-products_seed97/sage_max32
PLOT_PATH=experiment/ogbn-products_seed97/sage_max32/plots
SEED=97
SELFLOOP=False
W_LR=0.003
W_WEIGHT_DECAY=0

Training with DGL built-in GraphConv module.
Training...
Training timing started - measuring forward pass aggregation only
Epoch 0000/0500| Loss 4.6826 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2684 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2684
Epoch 0001/0500| Loss 3.5311 | Train Accuracy 0.3190 | Val Accuracy 0.3189 | Test Accuracy 0.2466 | Best val. Accuracy 0.3189 | Best test Accuracy 0.2466
Epoch 0002/0500| Loss 2.7706 | Train Accuracy 0.2839 | Val Accuracy 0.2882 | Test Accuracy 0.2298 | Best val. Accuracy 0.3189 | Best test Accuracy 0.2466
Epoch 0003/0500| Loss 2.6485 | Train Accuracy 0.5351 | Val Accuracy 0.5281 | Test Accuracy 0.4142 | Best val. Accuracy 0.5281 | Best test Accuracy 0.4142
Epoch 0004/0500| Loss 2.2825 | Train Accuracy 0.4768 | Val Accuracy 0.4784 | Test Accuracy 0.3994 | Best val. Accuracy 0.5281 | Best test Accuracy 0.4142
Epoch 0005/0500| Loss 2.1207 | Train Accuracy 0.4573 | Val Accuracy 0.4590 | Test Accuracy 0.3879 | Best val. Accuracy 0.5281 | Best test Accuracy 0.4142
Epoch 0006/0500| Loss 2.0457 | Train Accuracy 0.5210 | Val Accuracy 0.5196 | Test Accuracy 0.4287 | Best val. Accuracy 0.5281 | Best test Accuracy 0.4142
Epoch 0007/0500| Loss 1.7937 | Train Accuracy 0.6595 | Val Accuracy 0.6528 | Test Accuracy 0.5176 | Best val. Accuracy 0.6528 | Best test Accuracy 0.5176
Epoch 0008/0500| Loss 1.6318 | Train Accuracy 0.6748 | Val Accuracy 0.6694 | Test Accuracy 0.5275 | Best val. Accuracy 0.6694 | Best test Accuracy 0.5275
Epoch 0009/0500| Loss 1.5538 | Train Accuracy 0.6917 | Val Accuracy 0.6882 | Test Accuracy 0.5431 | Best val. Accuracy 0.6882 | Best test Accuracy 0.5431
Epoch 0010/0500| Loss 1.4242 | Train Accuracy 0.7056 | Val Accuracy 0.6984 | Test Accuracy 0.5541 | Best val. Accuracy 0.6984 | Best test Accuracy 0.5541
