Current process ID: 102729

Parameters:
DATA_PATH=./data/
DATASET=yelp
DROPOUT=0.1
ENABLE_LOOKAHEAD=False
EPOCHS=400
EVALUATE=None
GPU=0
HIDDEN_DIM=384
HIDDEN_LAYERS=4
MAXK=16
MODEL=sage
NONLINEAR=maxk
NORM=True
PATH=experiment/yelp_seed97/sage_max16
PLOT_PATH=experiment/yelp_seed97/sage_max16/plots
SEED=97
SELFLOOP=False
W_LR=0.001
W_WEIGHT_DECAY=0

Training with DGL built-in GraphConv module.
Training...
Training timing started - measuring forward pass aggregation only
Epoch 0000/0400| Loss 0.8509 | Train Accuracy 0.1618 | Val Accuracy 0.1610 | Test Accuracy 0.1607 | Best val. Accuracy 0.1610 | Best test Accuracy 0.1607
Epoch 0001/0400| Loss 0.6800 | Train Accuracy 0.1588 | Val Accuracy 0.1584 | Test Accuracy 0.1583 | Best val. Accuracy 0.1610 | Best test Accuracy 0.1607
Epoch 0002/0400| Loss 0.5358 | Train Accuracy 0.1683 | Val Accuracy 0.1684 | Test Accuracy 0.1677 | Best val. Accuracy 0.1684 | Best test Accuracy 0.1677
Epoch 0003/0400| Loss 0.4432 | Train Accuracy 0.1658 | Val Accuracy 0.1660 | Test Accuracy 0.1657 | Best val. Accuracy 0.1684 | Best test Accuracy 0.1677
Epoch 0004/0400| Loss 0.3807 | Train Accuracy 0.1635 | Val Accuracy 0.1642 | Test Accuracy 0.1638 | Best val. Accuracy 0.1684 | Best test Accuracy 0.1677
Epoch 0005/0400| Loss 0.3391 | Train Accuracy 0.1448 | Val Accuracy 0.1455 | Test Accuracy 0.1451 | Best val. Accuracy 0.1684 | Best test Accuracy 0.1677
Epoch 0006/0400| Loss 0.3119 | Train Accuracy 0.1422 | Val Accuracy 0.1429 | Test Accuracy 0.1426 | Best val. Accuracy 0.1684 | Best test Accuracy 0.1677
Epoch 0007/0400| Loss 0.2965 | Train Accuracy 0.1449 | Val Accuracy 0.1456 | Test Accuracy 0.1452 | Best val. Accuracy 0.1684 | Best test Accuracy 0.1677
Epoch 0008/0400| Loss 0.2880 | Train Accuracy 0.1523 | Val Accuracy 0.1533 | Test Accuracy 0.1527 | Best val. Accuracy 0.1684 | Best test Accuracy 0.1677
Epoch 0009/0400| Loss 0.2837 | Train Accuracy 0.1652 | Val Accuracy 0.1657 | Test Accuracy 0.1654 | Best val. Accuracy 0.1684 | Best test Accuracy 0.1677
Epoch 0010/0400| Loss 0.2814 | Train Accuracy 0.1730 | Val Accuracy 0.1733 | Test Accuracy 0.1730 | Best val. Accuracy 0.1733 | Best test Accuracy 0.1730
Epoch 0011/0400| Loss 0.2800 | Train Accuracy 0.1762 | Val Accuracy 0.1766 | Test Accuracy 0.1765 | Best val. Accuracy 0.1766 | Best test Accuracy 0.1765
Epoch 0012/0400| Loss 0.2792 | Train Accuracy 0.1822 | Val Accuracy 0.1824 | Test Accuracy 0.1828 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0013/0400| Loss 0.2787 | Train Accuracy 0.1703 | Val Accuracy 0.1706 | Test Accuracy 0.1708 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0014/0400| Loss 0.2783 | Train Accuracy 0.1434 | Val Accuracy 0.1441 | Test Accuracy 0.1437 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0015/0400| Loss 0.2780 | Train Accuracy 0.1424 | Val Accuracy 0.1430 | Test Accuracy 0.1428 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0016/0400| Loss 0.2775 | Train Accuracy 0.1420 | Val Accuracy 0.1426 | Test Accuracy 0.1424 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0017/0400| Loss 0.2771 | Train Accuracy 0.1417 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0018/0400| Loss 0.2766 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0019/0400| Loss 0.2759 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0020/0400| Loss 0.2753 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0021/0400| Loss 0.2745 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0022/0400| Loss 0.2738 | Train Accuracy 0.1417 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0023/0400| Loss 0.2732 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0024/0400| Loss 0.2727 | Train Accuracy 0.1418 | Val Accuracy 0.1424 | Test Accuracy 0.1422 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0025/0400| Loss 0.2723 | Train Accuracy 0.1422 | Val Accuracy 0.1427 | Test Accuracy 0.1425 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0026/0400| Loss 0.2720 | Train Accuracy 0.1417 | Val Accuracy 0.1424 | Test Accuracy 0.1421 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0027/0400| Loss 0.2715 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0028/0400| Loss 0.2710 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0029/0400| Loss 0.2705 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0030/0400| Loss 0.2700 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0031/0400| Loss 0.2695 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0032/0400| Loss 0.2689 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0033/0400| Loss 0.2684 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0034/0400| Loss 0.2680 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0035/0400| Loss 0.2676 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0036/0400| Loss 0.2671 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0037/0400| Loss 0.2665 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0038/0400| Loss 0.2658 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0039/0400| Loss 0.2649 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0040/0400| Loss 0.2641 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1418 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0041/0400| Loss 0.2633 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0042/0400| Loss 0.2628 | Train Accuracy 0.1418 | Val Accuracy 0.1425 | Test Accuracy 0.1422 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0043/0400| Loss 0.2623 | Train Accuracy 0.1413 | Val Accuracy 0.1419 | Test Accuracy 0.1419 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0044/0400| Loss 0.2613 | Train Accuracy 0.1367 | Val Accuracy 0.1372 | Test Accuracy 0.1375 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0045/0400| Loss 0.2603 | Train Accuracy 0.1528 | Val Accuracy 0.1534 | Test Accuracy 0.1536 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0046/0400| Loss 0.2592 | Train Accuracy 0.1549 | Val Accuracy 0.1554 | Test Accuracy 0.1556 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0047/0400| Loss 0.2577 | Train Accuracy 0.1793 | Val Accuracy 0.1800 | Test Accuracy 0.1805 | Best val. Accuracy 0.1824 | Best test Accuracy 0.1828
Epoch 0048/0400| Loss 0.2567 | Train Accuracy 0.1852 | Val Accuracy 0.1865 | Test Accuracy 0.1862 | Best val. Accuracy 0.1865 | Best test Accuracy 0.1862
Epoch 0049/0400| Loss 0.2557 | Train Accuracy 0.2084 | Val Accuracy 0.2093 | Test Accuracy 0.2098 | Best val. Accuracy 0.2093 | Best test Accuracy 0.2098
Epoch 0050/0400| Loss 0.2551 | Train Accuracy 0.2332 | Val Accuracy 0.2346 | Test Accuracy 0.2348 | Best val. Accuracy 0.2346 | Best test Accuracy 0.2348
Epoch 0051/0400| Loss 0.2549 | Train Accuracy 0.1812 | Val Accuracy 0.1829 | Test Accuracy 0.1825 | Best val. Accuracy 0.2346 | Best test Accuracy 0.2348
Epoch 0052/0400| Loss 0.2564 | Train Accuracy 0.2921 | Val Accuracy 0.2928 | Test Accuracy 0.2936 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0053/0400| Loss 0.2562 | Train Accuracy 0.2648 | Val Accuracy 0.2655 | Test Accuracy 0.2657 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0054/0400| Loss 0.2520 | Train Accuracy 0.1940 | Val Accuracy 0.1949 | Test Accuracy 0.1950 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0055/0400| Loss 0.2548 | Train Accuracy 0.2236 | Val Accuracy 0.2248 | Test Accuracy 0.2247 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0056/0400| Loss 0.2503 | Train Accuracy 0.2683 | Val Accuracy 0.2688 | Test Accuracy 0.2692 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0057/0400| Loss 0.2515 | Train Accuracy 0.2459 | Val Accuracy 0.2467 | Test Accuracy 0.2469 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0058/0400| Loss 0.2505 | Train Accuracy 0.2028 | Val Accuracy 0.2038 | Test Accuracy 0.2034 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0059/0400| Loss 0.2501 | Train Accuracy 0.2140 | Val Accuracy 0.2150 | Test Accuracy 0.2147 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0060/0400| Loss 0.2481 | Train Accuracy 0.2363 | Val Accuracy 0.2365 | Test Accuracy 0.2364 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0061/0400| Loss 0.2478 | Train Accuracy 0.2518 | Val Accuracy 0.2525 | Test Accuracy 0.2527 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0062/0400| Loss 0.2482 | Train Accuracy 0.2367 | Val Accuracy 0.2371 | Test Accuracy 0.2374 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0063/0400| Loss 0.2470 | Train Accuracy 0.2426 | Val Accuracy 0.2435 | Test Accuracy 0.2425 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0064/0400| Loss 0.2464 | Train Accuracy 0.2741 | Val Accuracy 0.2747 | Test Accuracy 0.2741 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0065/0400| Loss 0.2460 | Train Accuracy 0.2702 | Val Accuracy 0.2710 | Test Accuracy 0.2707 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0066/0400| Loss 0.2446 | Train Accuracy 0.2470 | Val Accuracy 0.2476 | Test Accuracy 0.2475 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0067/0400| Loss 0.2440 | Train Accuracy 0.2631 | Val Accuracy 0.2638 | Test Accuracy 0.2635 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0068/0400| Loss 0.2431 | Train Accuracy 0.2921 | Val Accuracy 0.2923 | Test Accuracy 0.2924 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0069/0400| Loss 0.2435 | Train Accuracy 0.2404 | Val Accuracy 0.2409 | Test Accuracy 0.2400 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0070/0400| Loss 0.2444 | Train Accuracy 0.2849 | Val Accuracy 0.2853 | Test Accuracy 0.2846 | Best val. Accuracy 0.2928 | Best test Accuracy 0.2936
Epoch 0071/0400| Loss 0.2412 | Train Accuracy 0.3224 | Val Accuracy 0.3223 | Test Accuracy 0.3226 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0072/0400| Loss 0.2437 | Train Accuracy 0.2767 | Val Accuracy 0.2765 | Test Accuracy 0.2768 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0073/0400| Loss 0.2404 | Train Accuracy 0.2553 | Val Accuracy 0.2552 | Test Accuracy 0.2554 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0074/0400| Loss 0.2411 | Train Accuracy 0.2961 | Val Accuracy 0.2961 | Test Accuracy 0.2965 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0075/0400| Loss 0.2395 | Train Accuracy 0.3060 | Val Accuracy 0.3063 | Test Accuracy 0.3060 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0076/0400| Loss 0.2394 | Train Accuracy 0.2680 | Val Accuracy 0.2682 | Test Accuracy 0.2674 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0077/0400| Loss 0.2395 | Train Accuracy 0.2808 | Val Accuracy 0.2811 | Test Accuracy 0.2809 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0078/0400| Loss 0.2384 | Train Accuracy 0.3117 | Val Accuracy 0.3117 | Test Accuracy 0.3122 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0079/0400| Loss 0.2379 | Train Accuracy 0.3164 | Val Accuracy 0.3165 | Test Accuracy 0.3167 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0080/0400| Loss 0.2378 | Train Accuracy 0.2764 | Val Accuracy 0.2764 | Test Accuracy 0.2765 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0081/0400| Loss 0.2362 | Train Accuracy 0.2778 | Val Accuracy 0.2783 | Test Accuracy 0.2778 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0082/0400| Loss 0.2356 | Train Accuracy 0.3075 | Val Accuracy 0.3074 | Test Accuracy 0.3073 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0083/0400| Loss 0.2351 | Train Accuracy 0.3107 | Val Accuracy 0.3107 | Test Accuracy 0.3104 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0084/0400| Loss 0.2344 | Train Accuracy 0.3127 | Val Accuracy 0.3121 | Test Accuracy 0.3129 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0085/0400| Loss 0.2341 | Train Accuracy 0.3052 | Val Accuracy 0.3045 | Test Accuracy 0.3053 | Best val. Accuracy 0.3223 | Best test Accuracy 0.3226
Epoch 0086/0400| Loss 0.2340 | Train Accuracy 0.3395 | Val Accuracy 0.3393 | Test Accuracy 0.3393 | Best val. Accuracy 0.3393 | Best test Accuracy 0.3393
Epoch 0087/0400| Loss 0.2336 | Train Accuracy 0.3281 | Val Accuracy 0.3279 | Test Accuracy 0.3270 | Best val. Accuracy 0.3393 | Best test Accuracy 0.3393
Epoch 0088/0400| Loss 0.2325 | Train Accuracy 0.2939 | Val Accuracy 0.2931 | Test Accuracy 0.2930 | Best val. Accuracy 0.3393 | Best test Accuracy 0.3393
Epoch 0089/0400| Loss 0.2324 | Train Accuracy 0.3097 | Val Accuracy 0.3089 | Test Accuracy 0.3081 | Best val. Accuracy 0.3393 | Best test Accuracy 0.3393
Epoch 0090/0400| Loss 0.2317 | Train Accuracy 0.3568 | Val Accuracy 0.3562 | Test Accuracy 0.3564 | Best val. Accuracy 0.3562 | Best test Accuracy 0.3564
Epoch 0091/0400| Loss 0.2333 | Train Accuracy 0.2878 | Val Accuracy 0.2875 | Test Accuracy 0.2877 | Best val. Accuracy 0.3562 | Best test Accuracy 0.3564
Epoch 0092/0400| Loss 0.2320 | Train Accuracy 0.3191 | Val Accuracy 0.3183 | Test Accuracy 0.3187 | Best val. Accuracy 0.3562 | Best test Accuracy 0.3564
Epoch 0093/0400| Loss 0.2303 | Train Accuracy 0.3702 | Val Accuracy 0.3700 | Test Accuracy 0.3707 | Best val. Accuracy 0.3700 | Best test Accuracy 0.3707
Epoch 0094/0400| Loss 0.2328 | Train Accuracy 0.3158 | Val Accuracy 0.3154 | Test Accuracy 0.3152 | Best val. Accuracy 0.3700 | Best test Accuracy 0.3707
Epoch 0095/0400| Loss 0.2299 | Train Accuracy 0.2889 | Val Accuracy 0.2887 | Test Accuracy 0.2881 | Best val. Accuracy 0.3700 | Best test Accuracy 0.3707
Epoch 0096/0400| Loss 0.2313 | Train Accuracy 0.3393 | Val Accuracy 0.3390 | Test Accuracy 0.3388 | Best val. Accuracy 0.3700 | Best test Accuracy 0.3707
Epoch 0097/0400| Loss 0.2291 | Train Accuracy 0.3722 | Val Accuracy 0.3719 | Test Accuracy 0.3724 | Best val. Accuracy 0.3719 | Best test Accuracy 0.3724
Epoch 0098/0400| Loss 0.2315 | Train Accuracy 0.3212 | Val Accuracy 0.3209 | Test Accuracy 0.3203 | Best val. Accuracy 0.3719 | Best test Accuracy 0.3724
Epoch 0099/0400| Loss 0.2286 | Train Accuracy 0.2972 | Val Accuracy 0.2965 | Test Accuracy 0.2962 | Best val. Accuracy 0.3719 | Best test Accuracy 0.3724
Epoch 0100/0400| Loss 0.2289 | Train Accuracy 0.3245 | Val Accuracy 0.3240 | Test Accuracy 0.3233 | Best val. Accuracy 0.3719 | Best test Accuracy 0.3724
Epoch 0101/0400| Loss 0.2280 | Train Accuracy 0.3720 | Val Accuracy 0.3715 | Test Accuracy 0.3716 | Best val. Accuracy 0.3719 | Best test Accuracy 0.3724
Epoch 0102/0400| Loss 0.2293 | Train Accuracy 0.3461 | Val Accuracy 0.3456 | Test Accuracy 0.3454 | Best val. Accuracy 0.3719 | Best test Accuracy 0.3724
Epoch 0103/0400| Loss 0.2274 | Train Accuracy 0.3345 | Val Accuracy 0.3340 | Test Accuracy 0.3345 | Best val. Accuracy 0.3719 | Best test Accuracy 0.3724
Epoch 0104/0400| Loss 0.2272 | Train Accuracy 0.3396 | Val Accuracy 0.3389 | Test Accuracy 0.3393 | Best val. Accuracy 0.3719 | Best test Accuracy 0.3724
Epoch 0105/0400| Loss 0.2274 | Train Accuracy 0.3808 | Val Accuracy 0.3800 | Test Accuracy 0.3812 | Best val. Accuracy 0.3800 | Best test Accuracy 0.3812
Epoch 0106/0400| Loss 0.2275 | Train Accuracy 0.3610 | Val Accuracy 0.3604 | Test Accuracy 0.3614 | Best val. Accuracy 0.3800 | Best test Accuracy 0.3812
Epoch 0107/0400| Loss 0.2262 | Train Accuracy 0.3110 | Val Accuracy 0.3107 | Test Accuracy 0.3109 | Best val. Accuracy 0.3800 | Best test Accuracy 0.3812
Epoch 0108/0400| Loss 0.2268 | Train Accuracy 0.3318 | Val Accuracy 0.3318 | Test Accuracy 0.3316 | Best val. Accuracy 0.3800 | Best test Accuracy 0.3812
Epoch 0109/0400| Loss 0.2260 | Train Accuracy 0.3782 | Val Accuracy 0.3777 | Test Accuracy 0.3780 | Best val. Accuracy 0.3800 | Best test Accuracy 0.3812
Epoch 0110/0400| Loss 0.2247 | Train Accuracy 0.3950 | Val Accuracy 0.3945 | Test Accuracy 0.3954 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0111/0400| Loss 0.2263 | Train Accuracy 0.3234 | Val Accuracy 0.3236 | Test Accuracy 0.3228 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0112/0400| Loss 0.2261 | Train Accuracy 0.3618 | Val Accuracy 0.3616 | Test Accuracy 0.3617 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0113/0400| Loss 0.2239 | Train Accuracy 0.3770 | Val Accuracy 0.3764 | Test Accuracy 0.3778 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0114/0400| Loss 0.2238 | Train Accuracy 0.3823 | Val Accuracy 0.3822 | Test Accuracy 0.3826 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0115/0400| Loss 0.2237 | Train Accuracy 0.3762 | Val Accuracy 0.3758 | Test Accuracy 0.3765 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0116/0400| Loss 0.2235 | Train Accuracy 0.3762 | Val Accuracy 0.3756 | Test Accuracy 0.3764 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0117/0400| Loss 0.2232 | Train Accuracy 0.3749 | Val Accuracy 0.3739 | Test Accuracy 0.3749 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0118/0400| Loss 0.2228 | Train Accuracy 0.3782 | Val Accuracy 0.3774 | Test Accuracy 0.3789 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0119/0400| Loss 0.2228 | Train Accuracy 0.3744 | Val Accuracy 0.3739 | Test Accuracy 0.3745 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0120/0400| Loss 0.2222 | Train Accuracy 0.3888 | Val Accuracy 0.3887 | Test Accuracy 0.3885 | Best val. Accuracy 0.3945 | Best test Accuracy 0.3954
Epoch 0121/0400| Loss 0.2220 | Train Accuracy 0.3962 | Val Accuracy 0.3961 | Test Accuracy 0.3965 | Best val. Accuracy 0.3961 | Best test Accuracy 0.3965
Epoch 0122/0400| Loss 0.2216 | Train Accuracy 0.3870 | Val Accuracy 0.3862 | Test Accuracy 0.3874 | Best val. Accuracy 0.3961 | Best test Accuracy 0.3965
